Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2004 FU162,28.7,2.01,0.0335,12865,8.60E-05,MPEC 2004-Q22,http://www.minorplanetcenter.net/mpec/K04/K04Q22.html,,,,,,,,,
2008 TS26,33.2,2.11,0.035,13464,9.00E-05,MPEC 2008-T119,http://www.minorplanetcenter.net/mpec/K08/K08TB9.html,,,,,,,,,
2019 AS5,32.2,2.25,0.0374,14361,9.60E-05,MPEC 2019-A12,http://www.minorplanetcenter.net/mpec/K19/K19A12.html,,,,,,,,,
2017 UJ2,30.8,2.81,0.0467,17952,0.00012,MPEC 2017-U15,http://www.minorplanetcenter.net/mpec/K17/K17U15.html,,,,,,,,,
2009 VA,28.6,3.19,0.0529,20345,0.000136,MPEC 2009-V22,http://www.minorplanetcenter.net/mpec/K09/K09V22.html,,,,,,,,,
2016 AH164,29.7,4.71,0.0782,30069,0.000201,MPEC 2016-C40,http://www.minorplanetcenter.net/mpec/K16/K16C40.html,,,,,,,,,
2004 YD5,29.3,5.29,0.088,33809,0.000226,MPEC 2004-Y35,http://www.minorplanetcenter.net/mpec/K04/K04Y35.html,,,,,,,,,
2015 VY105,29,6.18,0.1027,39494,0.000264,MPEC 2015-W19,http://www.minorplanetcenter.net/mpec/K15/K15W19.html,,,,,,,,,
2014 RC,26.8,6.25,0.1039,39943,0.000267,MPEC 2014-U25,http://www.minorplanetcenter.net/mpec/K14/K14U25.html,,,,,,,,,
2012 DA14,24,6.44,0.107,41139,0.000275,MPO 277033,,,,,,,,,,
2015 SK7,28.9,6.44,0.107,41139,0.000275,MPEC 2015-X12,http://www.minorplanetcenter.net/mpec/K15/K15X12.html,,,,,,,,,
2018 RZ5,29.7,8.08,0.1343,51611,0.000345,MPEC 2018-R16,http://www.minorplanetcenter.net/mpec/K18/K18R16.html,,,,,,,,,
